myo,action
28,Not
27,Not
25,Not
26,Not
24,Not
25,Not
26,Not
24,Not
23,Not
23,Not
24,Not
27,Not
27,Not
28,Not
29,Not
28,Not
27,Not
27,Not
27,Not
29,Not
29,Not
28,Not
28,Not
27,Not
26,Not
26,Not
25,Not
25,Not
26,Not
26,Not
27,Not
26,Not
26,Not
27,Not
28,Not
27,Not
27,Not
26,Not
27,Not
26,Not
27,Not
27,Not
27,Not
26,Not
26,Not
25,Not
25,Not
25,Not
23,Not
22,Not
23,Not
25,Not
26,Not
26,Not
25,Not
25,Not
25,Not
24,Not
23,Not
24,Not
25,Not
26,Not
26,Not
25,Not
25,Not
26,Not
26,Not
26,Not
25,Not
25,Not
23,Not
24,Not
23,Not
23,Not
25,Not
24,Not
24,Not
26,Not
27,Not
27,Not
27,Not
26,Not
26,Not
25,Not
25,Not
24,Not
24,Not
24,Not
25,Not
28,Not
28,Not
30,Not
29,Not
30,Not
29,Not
28,Not
28,Not
27,Not
27,Not
28,Not
29,Not
31,Not
30,Not
30,Not
30,Not
30,Not
29,Not
29,Not
28,Not
27,Not
27,Not
27,Not
27,Not
27,Not
27,Not
26,Not
26,Not
27,Not
27,Not
26,Not
25,Not
25,Not
27,Not
26,Not
26,Not
26,Not
27,Not
26,Not
26,Not
26,Not
27,Not
27,Not
28,Not
27,Not
26,Not
25,Not
25,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
24,Not
24,Not
23,Not
22,Not
22,Not
22,Not
23,Not
22,Not
22,Not
22,Not
22,Not
22,Not
22,Not
21,Not
22,Not
22,Not
23,Not
22,Not
21,Not
21,Not
23,Not
24,Not
24,Flex
23,Flex
22,Flex
23,Flex
21,Flex
22,Flex
23,Flex
25,Flex
24,Flex
24,Flex
23,Flex
24,Flex
23,Flex
26,Flex
27,Flex
27,Flex
26,Flex
26,Flex
25,Flex
27,Flex
25,Flex
25,Flex
26,Flex
25,Flex
26,Flex
25,Flex
26,Flex
26,Flex
26,Flex
26,Flex
26,Flex
25,Flex
24,Flex
24,Flex
24,Flex
23,Flex
23,Flex
23,Flex
22,Flex
22,Flex
21,Flex
22,Flex
21,Flex
22,Flex
21,Flex
21,Flex
21,Flex
21,Flex
21,Flex
21,Flex
23,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
25,Flex
25,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
23,Flex
23,Flex
22,Flex
22,Flex
22,Flex
22,Flex
21,Flex
20,Flex
20,Flex
20,Flex
20,Flex
22,Flex
23,Flex
22,Flex
22,Flex
23,Flex
26,Flex
28,Flex
27,Flex
26,Flex
28,Flex
29,Flex
28,Flex
28,Flex
28,Flex
29,Flex
28,Flex
28,Flex
27,Flex
27,Flex
28,Flex
26,Flex
25,Flex
26,Flex
25,Flex
26,Flex
26,Flex
26,Flex
27,Flex
28,Flex
28,Flex
26,Flex
26,Flex
26,Flex
25,Flex
26,Flex
27,Flex
26,Flex
27,Flex
26,Flex
26,Flex
25,Flex
26,Flex
27,Flex
28,Flex
27,Flex
27,Flex
27,Flex
28,Flex
27,Flex
26,Flex
25,Flex
25,Flex
25,Flex
26,Flex
26,Flex
27,Flex
27,Flex
27,Flex
27,Flex
27,Flex
27,Flex
25,Flex
26,Flex
26,Flex
25,Flex
24,Flex
23,Flex
22,Flex
23,Flex
23,Flex
22,Flex
21,Flex
21,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
23,Flex
23,Flex
23,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
23,Flex
25,Flex
25,Flex
25,Flex
27,Flex
27,Flex
26,Flex
25,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
25,Flex
25,Flex
26,Flex
25,Flex
24,Flex
24,Flex
23,Flex
22,Flex
21,Flex
22,Flex
22,Flex
23,Flex
22,Flex
23,Flex
22,Flex
23,Flex
22,Flex
23,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
23,Flex
23,Flex
23,Flex
25,Flex
24,Flex
27,Flex
27,Flex
26,Flex
26,Flex
25,Flex
25,Flex
25,Flex
25,Flex
24,Flex
23,Flex
24,Flex
23,Flex
24,Flex
24,Flex
23,Flex
24,Flex
24,Flex
24,Flex
24,Flex
23,Flex
23,Flex
23,Flex
23,Flex
22,Flex
21,Flex
21,Flex
25,Flex
25,Flex
27,Flex
27,Flex
25,Flex
26,Flex
25,Flex
24,Flex
25,Flex
24,Flex
24,Flex
23,Flex
24,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
21,Flex
21,Flex
20,Flex
20,Flex
20,Flex
20,Flex
21,Flex
21,Flex
20,Flex
20,Flex
21,Flex
22,Flex
23,Flex
22,Flex
21,Flex
21,Flex
22,Flex
22,Flex
21,Flex
21,Flex
21,Flex
22,Flex
23,Flex
21,Flex
21,Flex
21,Flex
20,Flex
20,Flex
20,Flex
19,Flex
21,Flex
21,Flex
20,Flex
19,Flex
19,Flex
20,Flex
21,Flex
21,Flex
21,Flex
21,Flex
21,Flex
21,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
21,Flex
20,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
18,Flex
19,Flex
19,Flex
19,Flex
18,Flex
19,Flex
19,Flex
18,Flex
18,Flex
18,Flex
18,Flex
19,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
20,Flex
20,Flex
20,Flex
20,Flex
19,Flex
20,Flex
20,Flex
20,Flex
21,Flex
20,Flex
19,Flex
21,Flex
20,Flex
21,Flex
19,Flex
20,Flex
19,Flex
19,Flex
19,Flex
20,Flex
19,Flex
19,Flex
19,Flex
19,Flex
18,Flex
19,Flex
18,Flex
17,Flex
18,Flex
19,Flex
20,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
21,Flex
20,Flex
21,Flex
21,Flex
21,Flex
21,Flex
21,Flex
20,Flex
21,Flex
21,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
21,Flex
21,Flex
22,Flex
21,Flex
20,Flex
21,Flex
22,Flex
23,Flex
25,Flex
24,Flex
25,Flex
25,Flex
27,Flex
28,Flex
28,Flex
28,Flex
29,Flex
29,Flex
27,Flex
27,Flex
26,Flex
26,Flex
26,Flex
25,Flex
24,Flex
23,Flex
24,Flex
24,Flex
25,Flex
26,Flex
26,Flex
25,Flex
25,Flex
25,Flex
25,Flex
25,Flex
24,Flex
23,Flex
23,Flex
23,Flex
23,Flex
23,Flex
23,Flex
23,Flex
23,Flex
22,Flex
22,Flex
21,Flex
20,Flex
21,Flex
21,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
21,Flex
22,Flex
22,Flex
22,Flex
22,Flex
23,Flex
24,Flex
24,Flex
23,Flex
23,Flex
23,Flex
22,Flex
21,Flex
21,Flex
21,Flex
21,Flex
21,Flex
21,Flex
21,Flex
22,Flex
22,Flex
23,Flex
23,Flex
23,Flex
22,Flex
21,Flex
22,Flex
21,Flex
22,Flex
22,Flex
24,Flex
24,Flex
24,Flex
25,Flex
26,Flex
24,Flex
25,Flex
24,Flex
24,Flex
23,Flex
23,Flex
22,Flex
22,Flex
22,Flex
23,Flex
23,Flex
23,Flex
23,Flex
23,Flex
23,Flex
23,Not
22,Not
22,Not
21,Not
22,Not
22,Not
22,Not
21,Not
21,Not
21,Not
21,Not
21,Not
22,Not
22,Not
22,Not
21,Not
23,Not
23,Not
23,Not
24,Not
24,Not
23,Not
22,Not
22,Not
22,Not
21,Not
21,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
21,Not
21,Not
22,Not
23,Not
23,Not
23,Not
22,Not
22,Not
21,Not
22,Not
22,Not
21,Not
21,Not
21,Not
21,Not
21,Not
22,Not
21,Not
21,Not
22,Not
23,Not
23,Not
22,Not
22,Not
22,Not
23,Not
21,Not
22,Not
24,Not
24,Not
23,Not
23,Not
23,Not
22,Not
22,Not
21,Not
22,Not
22,Not
22,Not
22,Not
22,Not
22,Not
21,Not
20,Not
20,Not
20,Not
20,Not
21,Not
22,Not
21,Not
22,Not
22,Not
23,Not
22,Not
21,Not
23,Not
23,Not
23,Not
23,Not
24,Not
24,Not
23,Not
23,Not
22,Not
23,Not
22,Not
22,Not
22,Not
21,Not
22,Not
22,Not
22,Not
22,Not
21,Not
21,Not
21,Not
21,Not
21,Not
20,Not
22,Not
23,Not
23,Not
24,Not
24,Not
24,Not
26,Not
25,Not
25,Not
24,Not
25,Not
27,Not
26,Not
26,Not
26,Not
26,Not
27,Not
27,Not
27,Not
26,Not
26,Not
26,Not
27,Not
26,Not
26,Not
26,Not
25,Not
24,Not
24,Not
23,Not
24,Not
22,Not
23,Not
23,Not
23,Not
23,Not
23,Not
24,Not
25,Not
25,Not
25,Not
25,Not
25,Not
24,Not
26,Not
25,Not
25,Not
26,Not
25,Not
26,Not
27,Not
27,Not
27,Not
25,Not
24,Not
24,Not
24,Not
25,Not
27,Not
27,Not
27,Not
26,Not
25,Not
25,Not
25,Not
25,Not
25,Not
25,Not
25,Not
24,Not
23,Not
23,Not
23,Not
22,Not
23,Not
24,Not
23,Not
23,Not
22,Not
25,Not
27,Not
27,Not
27,Not
27,Not
26,Not
27,Not
27,Not
26,Not
26,Not
25,Not
25,Not
25,Not
24,Not
24,Not
25,Not
25,Not
25,Not
24,Not
24,Not
25,Not
24,Not
24,Not
24,Not
22,Not
22,Not
22,Not
22,Not
22,Not
22,Not
21,Not
22,Not
21,Not
21,Not
21,Not
20,Not
21,Not
22,Not
23,Not
23,Not
24,Not
23,Not
23,Not
24,Not
25,Not
24,Not
24,Not
25,Not
26,Not
26,Not
26,Not
24,Not
25,Not
24,Not
24,Not
24,Not
25,Not
23,Not
23,Not
23,Not
22,Not
22,Not
24,Not
24,Not
25,Not
25,Not
25,Not
25,Not
24,Not
24,Not
23,Not
24,Not
24,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
21,Not
22,Not
23,Not
23,Not
22,Not
22,Not
21,Not
21,Not
21,Not
20,Not
20,Not
19,Not
18,Not
19,Not
19,Not
20,Not
20,Not
22,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
25,Not
25,Not
25,Not
26,Not
25,Not
25,Not
24,Not
24,Not
24,Not
22,Not
23,Not
24,Not
24,Not
24,Not
24,Not
27,Not
26,Not
27,Not
27,Not
28,Not
28,Not
28,Not
27,Not
27,Not
26,Not
26,Not
26,Not
27,Not
26,Not
25,Not
25,Not
24,Not
24,Not
24,Not
24,Not
23,Not
24,Not
24,Not
25,Not
25,Not
24,Not
23,Not
23,Not
22,Not
24,Not
25,Not
24,Not
25,Not
24,Not
25,Not
24,Not
24,Not
24,Not
23,Not
22,Not
23,Not
22,Not
21,Not
21,Not
21,Not
22,Not
22,Not
21,Not
22,Not
23,Not
24,Not
23,Not
22,Not
23,Not
21,Not
21,Not
21,Not
20,Not
20,Not
23,Not
22,Not
22,Not
22,Not
23,Not
23,Not
21,Not
22,Not
22,Not
23,Not
22,Not
23,Not
23,Not
22,Not
24,Not
24,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
24,Not
24,Not
25,Not
25,Not
24,Not
24,Not

