myo,action
23,Not
24,Not
24,Not
24,Not
23,Not
23,Not
24,Not
24,Not
23,Not
22,Not
22,Not
21,Not
21,Not
20,Not
21,Not
20,Not
20,Not
20,Not
20,Not
21,Not
22,Not
22,Not
23,Not
23,Not
23,Not
24,Not
25,Not
25,Not
24,Not
24,Not
26,Not
26,Not
25,Not
24,Not
24,Not
24,Not
23,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
23,Not
25,Not
25,Not
25,Not
25,Not
26,Not
25,Not
25,Not
24,Not
23,Not
22,Not
23,Not
23,Not
22,Not
22,Not
23,Not
24,Not
23,Not
22,Not
23,Not
23,Not
24,Not
24,Not
28,Not
28,Not
30,Not
31,Not
31,Not
31,Not
31,Not
30,Not
30,Not
30,Not
29,Not
29,Not
29,Not
29,Not
28,Not
27,Not
27,Not
26,Not
26,Not
25,Not
25,Not
25,Not
25,Not
26,Not
26,Not
26,Not
26,Not
27,Not
28,Not
26,Not
26,Not
26,Not
26,Not
25,Not
25,Not
24,Not
24,Not
24,Not
26,Not
25,Not
25,Not
24,Not
24,Not
24,Not
23,Not
23,Not
22,Not
22,Not
21,Not
22,Not
22,Not
22,Not
22,Not
22,Not
21,Not
22,Not
22,Not
21,Not
21,Not
20,Not
21,Not
20,Not
22,Not
23,Not
24,Not
25,Not
24,Not
24,Not
25,Not
25,Not
25,Not
26,Not
28,Not
27,Not
28,Not
29,Not
29,Not
29,Not
29,Not
29,Not
29,Not
29,Not
28,Not
27,Not
28,Not
27,Not
29,Not
30,Not
31,Not
29,Not
28,Not
27,Not
26,Not
26,Not
26,Not
26,Not
25,Not
25,Not
26,Not
26,Not
25,Not
25,Not
26,Not
25,Not
24,Not
24,Not
26,Not
25,Not
24,Not
24,Not
25,Not
24,Not
25,Not
24,Not
25,Not
23,Not
24,Not
25,Not
24,Not
25,Not
25,Not
25,Not
26,Not
26,Not
27,Not
27,Not
26,Not
27,Not
28,Not
26,Not
26,Not
26,Not
26,Not
26,Not
25,Not
26,Not
28,Not
26,Not
26,Not
26,Not
25,Not
26,Not
24,Not
25,Not
24,Not
24,Not
24,Not
25,Not
25,Not
24,Not
26,Not
26,Not
26,Not
26,Not
25,Not
25,Not
25,Not
25,Not
25,Not
24,Not
24,Not
23,Not
24,Not
23,Not
23,Not
23,Not
23,Not
25,Not
25,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
22,Not
22,Not
22,Not
23,Not
22,Not
21,Not
21,Not
21,Not
22,Not
21,Not
